Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌鲁木齐,20:11,20:11,00:00,-
2,吐鲁番北,21:31,21:33,01:20,163
3,鄯善北,22:17,22:19,02:04,254
4,哈密,00:16,00:31,04:01,535
5,嘉峪关,05:59,06:07,09:29,1179
6,张掖,08:01,08:07,11:23,1402
7,武威,10:20,10:26,13:36,1646
8,兰州,13:34,13:50,16:44,1754
9,定西,15:06,15:10,18:00,1872
10,陇西,16:02,16:06,18:52,1956
11,甘谷,16:55,16:58,19:41,2234
12,天水,18:08,18:17,20:51,2102
13,宝鸡,20:52,21:01,23:26,2257
14,西安,22:54,23:06,25:19,2430
15,郑州,05:31,05:50,31:44,2941
16,许昌,06:32,06:37,32:26,3027
17,漯河,07:11,07:14,33:00,3081
18,驻马店,07:44,07:47,33:30,3147
19,信阳,08:40,08:43,34:23,3243
20,孝感,10:15,10:18,35:55,3387
21,汉口,11:00,11:00,36:37,3457
