Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,厦门北,----,12:54,00:00,-
2,晋江,13:12,13:14,00:18,46
3,泉州,13:25,13:27,00:29,71
4,莆田,13:52,13:54,00:54,140
5,福清,14:13,14:15,01:13,190
6,福州南,14:30,14:36,01:28,226
7,宁德,15:14,15:16,02:06,314
8,霞浦,15:37,15:39,02:27,373
9,平阳,16:17,16:19,03:05,-
10,温州南,16:35,16:37,03:21,520
11,乐清,16:52,16:54,03:36,555
12,温岭,17:19,17:21,04:01,619
13,三门县,17:46,17:48,04:26,689
14,宁波,18:29,18:35,05:07,795
15,余姚北,18:55,18:57,05:27,844
16,绍兴东,19:09,19:11,05:39,849
17,绍兴北,19:22,19:24,05:50,907
18,杭州东,19:45,19:51,06:11,665
19,嘉兴南,20:16,20:19,06:36,735
20,上海虹桥,20:51,20:51,07:08,824
