Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京西,21:04,21:04,00:00,-
2,宣化,23:56,23:59,02:52,165
3,张家口,00:24,00:30,03:17,-
4,大同,03:12,03:22,05:59,368
5,集宁南,04:57,05:07,07:34,495
6,呼和浩特东,06:16,06:22,08:43,645
7,包头,07:59,08:19,10:20,818
8,临河,10:28,10:34,12:29,1036
9,惠农,12:40,12:44,14:35,-
10,银川,13:56,14:06,15:47,1226
11,中卫,16:33,16:48,18:14,1263
12,武威,20:12,20:18,21:38,1870
13,金昌,20:51,20:57,22:11,1944
14,张掖,22:35,22:41,23:49,2114
15,嘉峪关,00:38,00:53,25:46,2337
16,柳园,03:30,03:34,28:23,2634
17,哈密,06:14,06:20,31:03,2955
18,鄯善北,08:16,08:18,32:59,3218
19,吐鲁番北,09:01,09:03,33:42,3366
20,乌鲁木齐,10:47,10:47,35:26,3144
