Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,满洲里,21:40,21:40,00:00,-
2,扎赉诺尔西,22:03,22:07,00:23,23
3,海拉尔,23:49,23:57,02:05,186
4,牙克石,01:06,01:11,03:14,268
5,扎兰屯,04:30,04:36,06:33,475
6,富拉尔基,06:10,06:13,08:07,566
7,杜尔伯特,07:25,07:29,09:19,769
8,大庆,08:03,08:06,09:53,776
9,安达,08:27,08:29,10:14,808
10,肇东,09:07,09:09,10:52,918
11,哈尔滨,09:52,10:07,11:35,935
12,双城堡,10:45,10:48,12:13,986
13,扶余,11:22,11:24,12:47,1052
14,德惠,12:15,12:26,13:38,1115
15,长春,13:37,13:51,14:49,1181
16,公主岭,14:29,14:31,15:27,1258
17,四平,15:10,15:13,16:06,1296
18,昌图,15:46,15:48,16:39,1364
19,铁岭,16:27,16:30,17:18,1460
20,沈阳,17:24,17:38,18:12,1484
21,苏家屯,17:53,17:55,18:27,1428
22,辽阳,18:25,18:28,18:57,1594
23,鞍山,19:07,19:10,19:36,1619
24,海城,19:35,19:37,20:01,1655
25,大石桥,20:05,20:08,20:29,1687
26,熊岳城,20:44,20:47,21:05,1748
27,瓦房店,21:35,21:38,21:53,1822
28,金州,22:24,22:26,22:39,1863
29,大连,22:58,22:58,23:11,1896
