Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海虹桥,----,09:05,00:00,-
2,松江南,09:19,09:24,00:14,31
3,嘉兴南,09:42,09:46,00:32,84
4,余杭,10:05,10:07,00:51,144
5,杭州东,10:18,10:20,01:02,159
6,绍兴北,10:39,10:41,01:21,202
7,余姚北,11:00,11:02,01:40,212
8,宁波,11:23,11:31,02:01,261
9,三门县,12:10,12:12,02:40,420
10,台州,12:31,12:33,02:59,448
11,温岭,12:44,12:46,03:10,472
12,绅坊,13:04,13:06,03:28,518
13,温州南,13:27,13:29,03:49,413
14,平阳,13:46,13:48,04:06,-
15,福鼎,14:10,14:12,04:28,683
16,宁德,14:49,14:52,05:05,795
17,福州南,15:30,15:35,05:43,593
18,莆田,16:05,16:07,06:13,679
19,泉州,16:32,16:34,06:38,748
20,厦门北,16:59,17:03,07:03,819
21,漳州,17:23,17:25,07:23,1151
22,云霄,17:53,17:55,07:51,1227
23,潮汕,18:28,18:35,08:24,1318
24,葵潭,19:07,19:09,08:56,1402
25,惠州南,20:05,20:07,09:52,1567
26,深圳北,20:38,20:38,10:23,1623
