Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,大涧,05:39,05:39,00:00,-
2,云彩岭,05:51,05:52,00:12,8
3,招柏,06:03,06:05,00:23,15
4,艾河,06:20,06:22,00:38,27
5,小西庄,06:35,06:37,00:51,36
6,涞源,06:47,06:55,01:01,46
7,北屯,07:04,07:06,01:10,53
8,浮图峪,07:15,07:17,01:19,59
9,王安镇,07:32,07:34,01:34,71
10,塔崖驿,07:43,07:45,01:43,77
11,大盘石,07:55,07:56,01:53,85
12,紫荆关,08:07,08:09,02:04,93
13,奇峰塔,08:19,08:21,02:14,101
14,南城司,08:31,08:33,02:24,109
15,板城,08:43,08:45,02:34,117
16,白涧,08:54,08:56,02:43,122
17,福山口,09:06,09:13,02:53,129
18,百里峡,09:21,09:23,03:01,135
19,野三坡,09:34,09:36,03:12,144
20,平峪,09:47,09:48,03:23,153
21,十渡,09:56,09:58,03:31,158
22,三合庄,10:12,10:14,03:45,169
23,云居寺,10:24,10:26,03:55,177
24,孤山口,10:34,10:36,04:03,183
25,良各庄,10:50,10:52,04:17,196
26,燕山,11:00,11:02,04:25,200
27,南观村,11:07,11:09,04:30,203
28,上万,11:20,11:22,04:41,212
29,大灰厂,11:33,11:35,04:52,221
30,北京西,12:29,12:29,05:46,250
