Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,重庆北,----,05:59,00:00,-
2,石柱县,07:08,07:10,01:09,183
3,恩施,08:15,08:19,02:14,339
4,宜昌东,10:02,10:09,03:57,553
5,荆州,10:43,10:45,04:31,641
6,汉川,11:39,11:41,05:25,799
7,汉口,12:06,12:19,05:50,845
8,武汉,12:43,12:47,06:14,881
9,鄂州,13:09,13:11,06:36,937
10,黄石北,13:23,13:25,06:48,966
11,阳新,13:43,13:45,07:06,1008
12,庐山,14:13,14:15,07:34,1380
13,南昌西,15:00,15:09,08:19,1221
14,抚州,15:46,15:49,08:56,1322
15,南丰,16:18,16:20,09:25,1406
16,建宁县北,16:40,16:43,09:45,1451
17,泰宁,16:56,16:58,09:58,1481
18,三明北,17:31,17:38,10:31,1573
19,尤溪,17:56,17:59,10:49,1619
20,永泰,18:33,18:35,11:23,1714
21,莆田,18:58,19:05,11:46,1769
22,泉州,19:30,19:38,12:11,1838
23,厦门北,20:03,20:06,12:36,1909
24,厦门,20:31,20:31,13:01,1940
