Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,成都东,----,09:11,00:00,-
2,合川,10:47,10:55,01:36,247
3,重庆北,11:20,11:26,02:01,313
4,长寿北,11:56,11:58,02:31,381
5,石柱县,12:41,12:43,03:14,496
6,恩施,13:48,13:53,04:19,652
7,建始,14:16,14:18,04:42,687
8,宜昌东,15:41,15:53,06:05,866
9,荆州,16:27,16:30,06:39,954
10,潜江,16:55,16:57,07:04,1024
11,天门南,17:17,17:19,07:24,1075
12,汉川,17:34,17:36,07:39,1112
13,汉口,18:00,18:10,08:03,1158
14,武汉,18:34,18:40,08:27,1194
15,鄂州,19:02,19:04,08:49,1349
16,黄石北,19:16,19:18,09:01,1270
17,大冶北,19:26,19:28,09:09,1280
18,阳新,19:42,19:44,09:23,1420
19,庐山,20:10,20:12,09:49,1405
20,德安,20:28,20:30,10:05,1441
21,永修,20:44,20:46,10:19,-
22,南昌,21:08,21:08,10:41,1527
