Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海,----,20:22,00:00,-
2,苏州,21:16,21:20,00:54,91
3,无锡,21:48,21:52,01:22,133
4,常州,22:19,22:23,01:49,172
5,南京,00:28,00:34,03:54,308
6,滁州北,01:12,01:15,04:32,358
7,蚌埠,02:42,02:48,05:59,485
8,宿州,03:44,03:48,06:55,575
9,徐州,04:39,04:53,07:46,649
10,枣庄西,05:45,05:47,08:38,717
11,滕州,06:09,06:12,09:00,751
12,邹城,06:40,06:42,09:28,791
13,兖州,06:57,07:00,09:43,812
14,磁窑,07:34,07:37,10:17,901
15,泰山,08:02,08:06,10:42,895
16,济南,09:04,09:22,11:40,968
17,禹城,10:02,10:05,12:20,1018
18,平原,10:29,10:45,12:44,1051
19,德州,11:21,11:39,13:20,1086
20,吴桥,11:55,11:58,13:36,1148
21,东光,12:19,12:21,13:57,1140
22,泊头,12:35,12:48,14:11,1160
23,沧州,13:12,13:15,14:35,1199
24,青县,13:35,13:38,14:55,1271
25,天津,14:59,15:06,16:16,1325
26,唐山,16:39,16:47,17:49,1439
27,山海关,18:56,19:06,19:58,1603
28,兴城,20:14,20:16,21:06,1716
29,葫芦岛,20:33,20:35,21:23,1737
30,锦州,21:14,21:35,22:02,1787
31,阜新南,23:08,23:08,23:35,1832
