Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,深圳北,----,08:18,00:00,-
2,惠州南,08:44,08:46,00:26,56
3,葵潭,09:41,09:43,01:21,221
4,潮阳,10:07,10:09,01:45,279
5,潮汕,10:23,10:31,01:59,305
6,角美,11:37,11:39,03:05,490
7,厦门北,11:55,11:59,03:21,514
8,泉州,12:24,12:26,03:46,585
9,莆田,12:51,12:53,04:11,654
10,福清,13:12,13:14,04:30,704
11,福州南,13:29,13:37,04:45,740
12,罗源,14:08,14:10,05:16,804
13,宁德,14:21,14:23,05:27,828
14,太姥山,14:55,14:57,05:59,921
15,平阳,15:25,15:27,06:27,-
16,温州南,15:43,15:51,06:43,1034
17,台州,16:34,16:36,07:26,1157
18,临海,16:47,16:49,07:37,-
19,宁波,17:37,17:45,08:25,1309
20,庄桥,17:54,17:56,08:34,1317
21,余姚北,18:11,18:13,08:49,1358
22,绍兴东,18:25,18:27,09:01,1363
23,绍兴北,18:38,18:41,09:12,1421
24,杭州东,19:01,19:05,09:32,1411
25,嘉善南,19:34,19:36,10:01,1556
26,上海虹桥,20:01,20:01,10:26,1570
