Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海虹桥,----,11:24,00:00,-
2,嘉兴南,11:52,11:54,00:28,84
3,桐乡,12:05,12:07,00:39,112
4,杭州东,12:25,12:29,00:57,159
5,绍兴北,12:48,12:50,01:16,202
6,余姚北,13:09,13:11,01:35,212
7,宁波,13:32,13:39,01:56,261
8,台州,14:33,14:35,02:50,448
9,温岭,14:46,14:48,03:01,472
10,乐清,15:12,15:14,03:25,536
11,温州南,15:29,15:31,03:40,413
12,平阳,15:48,15:50,03:57,-
13,苍南,16:01,16:03,04:08,465
14,霞浦,16:35,16:37,04:40,736
15,宁德,16:58,17:00,05:01,795
16,福州南,17:38,17:46,05:39,593
17,泉州,18:37,18:39,06:30,748
18,厦门北,19:04,19:08,06:55,819
19,漳州,19:27,19:29,07:14,1151
20,漳浦,19:48,19:50,07:33,1196
21,诏安,20:13,20:15,07:56,1259
22,潮汕,20:38,20:42,08:19,1318
23,汕尾,21:34,21:36,09:11,-
24,深圳北,22:40,22:40,10:15,1623
