Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,牡丹江,03:55,03:55,00:00,-
2,尚志,06:35,06:37,02:40,214
3,哈尔滨东,08:25,09:04,04:28,360
4,哈尔滨,09:19,09:32,04:43,355
5,双城堡,10:10,10:13,05:21,340
6,扶余,10:47,10:50,05:55,391
7,德惠,11:27,11:29,06:32,454
8,长春,12:25,12:33,07:28,600
9,四平,14:00,14:03,08:55,715
10,昌图,14:36,14:47,09:28,703
11,开原,15:07,15:10,09:48,734
12,铁岭,15:33,15:35,10:11,833
13,沈阳北,16:26,16:35,11:02,878
14,大虎山,18:08,18:14,12:35,1040
15,沟帮子,18:43,18:46,13:04,1082
16,锦州,19:29,19:35,13:47,1071
17,绥中,20:53,20:56,15:05,1190
18,山海关,21:42,21:50,15:51,1255
19,秦皇岛,22:14,22:39,16:15,1346
20,唐山,00:25,00:28,18:01,1433
21,天津,01:53,02:35,19:26,1547
22,霸州,04:04,04:41,20:55,-
23,保定,05:39,05:50,21:53,1810
24,石家庄,07:17,07:25,23:20,1945
25,邢台,08:28,08:30,24:23,-
26,邯郸,09:10,09:10,25:03,-
