Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,南昌西,07:36,07:36,00:00,-
2,永修,07:56,07:58,00:20,53
3,德安,08:13,08:15,00:35,87
4,庐山,08:31,08:33,00:51,123
5,瑞昌西,08:45,08:47,01:03,150
6,白沙铺,09:12,09:14,01:28,218
7,黄石北,09:27,09:29,01:41,248
8,鄂州,09:40,09:42,01:52,284
9,武汉,10:05,10:25,02:15,704
10,汉口,10:45,10:50,02:35,376
11,仙桃西,11:34,11:37,03:19,-
12,荆州,12:10,12:12,03:52,580
13,宜昌东,12:46,12:55,04:26,668
14,建始,14:20,14:22,05:51,-
15,恩施,14:45,14:53,06:14,-
16,利川,15:28,15:30,06:49,-
17,丰都,16:29,16:31,07:48,-
18,重庆北,17:25,17:25,08:42,1221
