Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,齐齐哈尔,----,05:30,00:00,-
2,塔哈,05:56,05:59,00:26,30
3,中和,06:13,06:15,00:40,49
4,富裕,06:27,06:37,00:52,63
5,富海,07:05,07:42,01:20,96
6,依安,08:09,08:18,01:47,129
7,古城,08:45,08:48,02:14,161
8,克山,09:02,09:05,02:28,175
9,北安,10:11,10:35,03:34,231
10,二井,10:53,10:55,03:52,247
11,二龙山屯,11:18,11:21,04:15,266
12,五大连池,11:42,11:45,04:36,283
13,龙镇,12:02,12:14,04:53,294
14,襄河,12:33,12:47,05:12,312
15,辰清,13:38,13:40,06:03,368
16,孙吴,14:36,14:46,06:59,418
17,西岗子,16:00,16:03,08:13,488
18,黑河,16:48,16:48,08:58,534
