Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海南,----,09:32,00:00,-
2,松江,09:53,09:56,00:21,26
3,嘉兴,10:28,10:48,00:53,80
4,海宁,11:08,11:14,01:13,108
5,杭州东,11:56,12:02,01:55,167
6,诸暨,12:51,12:56,02:44,260
7,义乌,13:22,13:28,03:10,312
8,金华,14:07,14:13,03:49,360
9,衢州,15:05,15:10,04:41,446
10,上饶,16:47,16:53,06:18,481
11,鹰潭,18:15,18:30,07:40,597
12,新余,20:57,21:03,10:07,843
13,宜春,21:38,21:42,10:42,897
14,萍乡,22:26,22:32,11:26,968
15,怀化,06:08,06:38,19:02,1489
16,黔江,11:37,11:43,24:01,1811
17,内江,21:45,22:01,34:03,1809
18,成都,03:15,03:15,39:17,2028
