Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,宜昌东,----,06:55,00:00,-
2,荆州,07:29,07:31,00:34,88
3,潜江,07:56,07:59,00:59,158
4,天门南,08:19,08:21,01:19,209
5,汉口,08:57,09:06,01:55,292
6,红安西,09:36,09:45,02:25,364
7,麻城北,09:59,10:11,02:39,403
8,金寨,10:45,10:47,03:13,512
9,六安,11:05,11:07,03:31,564
10,合肥南,11:31,11:41,03:55,651
11,全椒,12:16,12:18,04:30,752
12,南京南,12:40,12:46,04:52,808
13,镇江,13:14,13:25,05:20,882
14,丹阳,13:38,13:40,05:33,910
15,常州,13:56,13:58,05:49,954
16,无锡,14:13,14:15,06:04,993
17,苏州,14:30,14:32,06:19,1035
18,昆山南,14:44,14:46,06:31,1069
19,安亭北,14:55,15:00,06:40,1090
20,上海虹桥,15:15,15:15,06:55,1119
