Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,大连,14:30,14:30,00:00,-
2,金州,14:56,14:59,00:26,33
3,瓦房店,15:47,15:50,01:14,105
4,许家屯,16:28,16:30,01:52,161
5,盖州,17:01,17:03,02:23,210
6,大石桥,17:27,17:30,02:47,240
7,海城,17:55,17:57,03:12,272
8,鞍山,18:22,18:25,03:37,308
9,辽阳,18:42,18:45,03:54,333
10,沈阳,19:31,19:50,04:40,397
11,铁岭,20:35,20:38,05:25,467
12,开原,21:00,21:03,05:47,501
13,昌图,21:24,21:27,06:08,532
14,四平,22:08,22:11,06:49,585
15,长春,23:24,23:32,08:02,700
16,哈尔滨东,02:46,03:11,11:16,951
17,绥化,04:31,04:41,12:36,1069
18,绥棱,05:55,05:57,13:50,1153
19,海伦,06:21,06:28,14:14,1185
20,通北,07:06,07:09,14:52,1227
21,北安,08:10,08:26,15:53,1291
22,五大连池,09:19,09:21,16:46,1343
23,龙镇,09:38,09:41,17:03,1354
24,襄河,10:00,10:02,17:22,-
25,孙吴,11:40,11:50,19:00,1478
26,黑河,13:46,13:46,20:56,1594
