Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,临汾,12:35,12:35,00:00,-
2,洪洞,12:53,12:56,00:18,23
3,霍州,13:34,13:37,00:56,65
4,灵石,14:13,14:16,01:32,108
5,介休,14:46,14:52,02:02,135
6,平遥,15:14,15:19,02:24,166
7,祁县,15:35,15:38,02:40,188
8,太谷,15:59,16:02,03:01,211
9,榆次,16:30,16:35,03:29,247
10,太原,17:02,17:18,03:56,274
11,忻州,18:32,18:36,05:10,362
12,原平,19:08,19:25,05:42,398
13,山阴,20:18,20:21,06:35,486
14,应县,20:37,20:40,06:51,507
15,怀仁东,20:57,21:00,07:08,529
16,大同,21:45,22:13,07:53,629
17,阳高,22:56,22:58,08:36,631
18,张家口,00:42,00:48,10:20,-
19,宣化,01:09,01:11,10:41,777
20,北京,04:32,04:57,14:02,948
21,玉田县,06:14,06:17,15:19,1065
22,唐山北,06:43,06:46,15:45,1099
23,滦县,07:28,07:30,16:27,1156
24,北戴河,08:17,08:48,17:14,1225
25,秦皇岛,09:06,09:08,17:32,1247
26,山海关,09:33,09:39,17:57,1263
27,兴城,10:50,10:53,19:08,1376
28,葫芦岛,11:10,11:13,19:25,1397
29,锦州,11:52,11:57,20:04,1447
30,凌海,12:14,12:16,20:21,1470
31,大虎山,13:07,13:11,21:12,1553
32,沈阳北,14:46,14:46,22:47,1680
