Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,古莲,----,11:05,00:00,-
2,漠河,11:27,11:43,00:22,17
3,图强,12:15,12:18,00:54,44
4,阿木尔,12:42,12:52,01:18,72
5,聂河,13:46,13:56,02:12,111
6,盘古,14:18,14:42,02:34,134
7,瓦拉干,16:05,16:08,03:57,193
8,绣峰,16:21,16:24,04:10,205
9,塔河,16:48,16:58,04:34,230
10,塔尔根,17:10,17:13,04:46,241
11,翠岗,17:33,17:36,05:06,266
12,碧州,17:49,18:04,05:19,280
13,大乌苏,18:20,18:22,05:35,300
14,新林,18:36,18:39,05:49,316
15,林海,18:50,18:53,06:00,328
16,塔源,19:08,19:11,06:15,346
17,太阳沟,19:25,19:58,06:29,363
18,新天,20:14,20:17,06:45,382
19,劲松,20:33,20:36,07:01,399
20,大扬气,20:44,20:47,07:09,406
21,古源,20:58,21:01,07:20,420
22,小扬气,21:14,21:17,07:33,436
23,翠峰,21:38,21:39,07:54,458
24,松树林,21:55,22:00,08:10,473
25,加格达奇,22:17,22:38,08:27,492
26,大杨树,00:03,00:07,09:52,588
27,嫩江,01:27,01:33,11:12,680
28,讷河,03:28,03:39,13:07,773
29,拉哈,04:06,04:09,13:34,812
30,青水山,04:24,04:26,13:49,833
31,二道湾,04:36,04:38,13:59,841
32,小榆树,04:50,04:52,14:11,854
33,富裕,05:03,05:07,14:22,860
34,中和,05:18,05:20,14:33,874
35,塔哈,05:34,05:36,14:47,893
36,冯屯,05:46,05:49,14:57,906
37,高头,05:56,05:58,15:04,913
38,齐齐哈尔,06:08,06:08,15:14,923
