Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京,04:40,04:40,00:00,-
2,山海关,09:50,10:13,05:10,222
3,绥中,11:01,11:04,05:58,287
4,葫芦岛,11:56,12:24,06:50,356
5,锦州,13:13,13:21,07:39,406
6,沟帮子,14:08,14:10,08:26,470
7,大虎山,14:41,14:43,08:57,512
8,沈阳,16:38,16:48,10:52,648
9,铁岭,18:09,18:12,12:13,718
10,昌图,18:53,18:56,12:54,783
11,四平,19:36,19:39,13:34,836
12,公主岭,20:12,20:15,14:07,889
13,长春,20:59,21:12,14:51,910
14,哈尔滨东,00:07,00:32,17:46,1190
15,绥化,01:52,01:55,19:06,1312
16,朗乡,04:06,04:09,21:17,1585
17,南岔,04:49,04:52,21:57,1644
18,浩良河,05:35,05:37,22:40,1698
19,香兰,05:50,05:52,22:53,1687
20,汤原,06:07,06:09,23:08,1735
21,佳木斯,06:46,06:46,23:45,1756
