Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海,----,08:57,00:00,-
2,昆山,09:33,09:37,00:36,49
3,苏州,10:01,10:04,01:00,91
4,无锡,10:30,10:34,01:26,133
5,常州,10:57,11:01,01:49,172
6,镇江,11:48,11:52,02:36,244
7,南京,12:41,12:47,03:25,308
8,蚌埠,14:58,15:08,05:36,485
9,徐州,16:55,17:03,07:23,649
10,商丘,18:33,18:36,08:53,795
11,郑州,20:18,20:40,10:35,998
12,洛阳,22:12,22:18,12:07,1122
13,三门峡,23:56,23:59,13:45,1244
14,西安,03:31,03:39,17:17,1509
15,天水,06:35,06:40,20:13,1804
16,兰州,10:23,10:40,23:56,2152
17,西宁,13:26,13:26,26:42,2401
