Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京西,07:51,07:51,00:00,-
2,霸州,08:48,09:01,00:57,92
3,任丘,09:36,09:39,01:32,147
4,肃宁,10:12,10:34,02:05,188
5,衡水,11:32,11:32,03:03,274
