Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,海口,----,17:30,00:00,-
2,徐闻,20:55,21:01,03:25,193
3,湛江西,22:36,22:46,05:00,306
4,肇庆,03:44,03:54,09:58,573
5,佛山,05:56,06:04,12:00,660
6,广州,07:11,07:36,13:07,682
7,韶关东,09:48,09:54,15:19,903
8,赣州,12:43,13:02,18:08,1107
9,吉安,14:54,14:57,20:00,1293
10,南昌西,17:02,17:13,22:05,1519
11,九江,18:19,18:23,23:11,1661
12,阜阳,22:18,22:43,27:06,2070
13,菏泽,00:58,01:00,29:21,2343
14,天津,05:57,06:03,34:18,2920
15,唐山,07:18,07:20,35:33,3034
16,山海关,09:06,09:13,37:19,3198
17,锦州,11:06,11:10,39:12,3382
18,沈阳北,13:30,13:38,41:32,3615
19,长春,16:03,16:11,43:57,3925
20,哈尔滨西,18:01,18:01,45:47,4276
