Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,成都东,07:37,07:37,00:00,-
2,内江北,08:23,08:30,00:46,20
3,永川东,08:59,09:15,01:15,30
4,重庆西,09:40,09:45,01:40,302
5,遵义,11:03,11:07,02:58,565
6,贵阳东,11:56,12:00,03:47,646
7,贵定县,12:25,12:27,04:12,723
8,三江南,13:41,13:43,05:26,972
9,桂林西,14:16,14:19,05:59,1059
10,桂林北,14:28,14:32,06:08,1065
11,桂林,14:43,14:46,06:19,1073
12,鹿寨北,15:27,15:29,07:00,1179
13,柳州,15:58,16:02,07:29,1546
14,南宁东,17:09,17:33,08:36,1441
15,钦州东,18:15,18:17,09:18,1547
16,合浦,18:44,18:46,09:45,1615
17,北海,19:00,19:00,09:59,1638
