Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,和田,----,15:12,00:00,-
2,墨玉,15:26,15:28,00:14,17
3,皮山,16:50,16:52,01:36,158
4,叶城,17:52,17:55,02:36,239
5,泽普,18:22,18:24,03:03,275
6,莎车,18:41,18:44,03:20,298
7,阿克陶,20:19,20:22,04:55,447
8,喀什,20:53,21:09,05:26,485
9,阿图什,21:37,21:39,05:54,521
10,巴楚,23:53,23:56,08:08,731
11,阿克苏,03:04,03:16,11:16,948
12,库车,05:34,05:40,13:34,1190
13,轮台,06:40,06:42,14:34,1195
14,库尔勒,08:33,08:48,16:25,1200
15,鱼儿沟,11:24,11:26,19:01,-
16,吐鲁番,12:33,12:39,20:08,1534
17,达坂城,13:17,13:19,20:46,-
18,乌鲁木齐南,14:21,14:31,21:48,1679
19,乌鲁木齐,14:45,14:45,22:02,1684
