Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌鲁木齐,----,18:00,00:00,-
2,吐鲁番北,19:20,19:22,01:20,163
3,哈密,21:57,22:07,03:55,535
4,柳园,00:44,00:48,06:32,882
5,嘉峪关,03:19,03:26,09:03,1179
6,张掖,05:20,05:26,10:57,1402
7,武威,07:39,07:48,13:10,1646
8,兰州,10:46,11:09,16:08,1754
9,天水,15:11,15:18,20:10,2102
10,宝鸡,17:51,18:09,22:43,2257
11,西安,19:39,19:54,24:13,2430
12,南阳,01:12,01:42,29:31,-
13,襄州,03:19,03:25,31:08,-
14,武昌,06:02,06:22,33:45,3529
15,岳阳,08:19,08:22,35:42,3755
16,长沙,09:42,09:54,37:02,3902
17,衡阳,11:48,11:52,38:56,4088
18,郴州,13:30,13:34,40:34,4235
19,韶关东,15:09,15:13,42:09,4388
20,广州,17:32,17:44,44:28,4663
21,深圳,19:14,19:14,45:58,4666
