Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京西,07:26,07:26,00:00,-
2,涿州东,07:51,07:53,00:25,62
3,保定东,08:14,08:16,00:46,139
4,石家庄,08:52,08:58,01:22,281
5,邢台东,09:26,09:34,01:50,403
6,邯郸东,09:50,09:52,02:06,456
7,鹤壁东,10:19,10:21,02:33,562
8,郑州东,10:53,10:57,03:05,693
9,许昌东,11:19,11:21,03:27,784
10,驻马店西,11:53,11:58,03:59,912
11,信阳东,12:23,12:25,04:24,1030
12,武汉,13:10,13:14,05:09,1229
13,长沙南,14:32,14:39,06:27,1591
14,郴州西,15:46,15:48,07:34,1961
15,韶关,16:19,16:25,08:05,2071
16,广州南,17:21,17:24,09:01,2298
17,福田,18:04,18:04,09:41,2405
