Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,武汉,----,14:27,00:00,-
2,鄂州,14:49,14:51,00:22,56
3,黄石北,15:03,15:05,00:34,85
4,大冶北,15:13,15:15,00:42,95
5,阳新,15:29,15:31,00:56,105
6,枫林,15:43,15:45,01:08,158
7,瑞昌西,15:55,15:57,01:18,183
8,九江,16:18,16:24,01:39,229
9,都昌,16:54,16:56,02:09,287
10,鄱阳,17:19,17:21,02:32,339
11,景德镇北,17:39,17:43,02:50,380
12,婺源,18:10,18:12,03:17,443
13,上饶,18:36,18:39,03:41,581
14,南平市,19:09,19:11,04:11,-
15,建瓯西,19:27,19:29,04:27,695
16,延平,19:45,19:47,04:43,-
17,福州,20:26,20:26,05:22,891
