Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,赤峰南,08:00,08:00,00:00,-
2,四道湾,08:56,08:59,00:56,-
3,敖汉,09:25,09:46,01:22,-
4,奈曼,10:33,10:37,02:09,-
5,八仙筒,11:12,11:14,02:44,-
6,治安,11:41,11:43,03:11,-
7,东来,11:53,11:59,03:21,-
8,余粮堡,12:18,12:23,03:40,-
9,通辽,12:49,13:09,04:06,-
10,双辽,14:31,14:37,05:28,-
11,金宝屯,14:49,14:51,05:40,-
12,三江口,15:01,15:03,05:50,-
13,八面城,15:29,15:31,06:16,-
14,四平,16:00,16:28,06:45,-
15,公主岭,17:02,17:04,07:19,-
16,长春,17:46,18:02,08:01,-
17,德惠,18:50,18:52,08:49,-
18,扶余,19:33,19:35,09:30,-
19,哈尔滨西,20:47,20:47,10:42,-
