Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,青岛,----,08:14,00:00,-
2,青岛北,08:32,08:38,00:18,15
3,青岛西,09:14,09:16,00:54,-
4,日照西,09:51,09:53,01:29,-
5,岚山西,10:06,10:08,01:42,-
6,连云港,10:38,10:41,02:12,-
7,灌云,11:03,11:05,02:34,-
8,淮安东,11:31,11:51,03:00,-
9,宿迁,12:19,12:21,03:28,-
10,睢宁,12:33,12:35,03:40,-
11,徐州东,12:59,13:03,04:04,682
12,民权北,13:59,14:01,05:00,-
13,郑州东,14:41,14:45,05:40,707
14,灵宝西,15:58,16:00,06:53,-
15,华山北,16:17,16:19,07:10,-
16,西安北,16:54,17:00,07:45,-
17,洋县西,17:56,17:59,08:41,-
18,汉中,18:17,18:22,08:59,2173
19,广元,19:05,19:09,09:42,2698
20,绵阳,20:01,20:04,10:34,2573
21,德阳,20:21,20:23,10:51,2627
22,成都东,20:47,20:53,11:15,-
23,内江北,21:34,21:37,11:56,-
24,永川东,22:01,22:03,12:20,-
25,重庆西,22:28,22:28,12:45,-
