Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,成都东,----,09:41,00:00,-
2,彭山北,10:08,10:10,00:27,66
3,乐山,10:33,10:35,00:50,105
4,犍为,10:52,10:54,01:07,-
5,宜宾西,11:22,11:24,01:35,-
6,威信,12:05,12:07,02:16,-
7,毕节,12:31,12:35,02:40,-
8,贵阳东,13:21,13:25,03:26,646
9,凯里南,13:59,14:01,04:00,763
10,铜仁南,14:37,14:39,04:36,903
11,怀化南,15:08,15:11,05:05,1010
12,娄底南,16:02,16:04,05:56,1217
13,湘潭北,16:30,16:32,06:22,-
14,长沙南,16:45,16:48,06:35,1556
15,新余北,17:38,17:40,07:25,-
16,南昌西,18:12,18:15,07:57,1528
17,鹰潭北,18:50,18:52,08:32,-
18,上饶,19:24,19:50,09:04,1886
19,黄山北,20:31,20:35,09:45,-
20,杭州东,21:56,21:56,11:06,1930
