Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,沈阳北,----,20:58,00:00,-
2,沈阳,21:05,21:13,00:07,3
3,辽阳,22:03,22:06,00:57,67
4,鞍山,22:28,22:58,01:19,92
5,海城,23:28,23:34,01:49,128
6,盘锦,01:37,01:42,03:52,202
7,沟帮子,03:06,03:11,05:16,236
8,锦州,03:54,04:04,05:59,236
9,绥中,05:22,05:25,07:17,355
10,山海关,06:33,06:49,08:25,420
11,秦皇岛,07:08,07:14,08:44,404
12,昌黎,07:52,08:04,09:22,550
13,滦县,08:31,08:45,09:49,572
14,唐山北,09:25,09:32,10:29,552
15,玉田县,09:54,10:06,10:51,682
16,燕郊,11:18,11:35,12:03,763
17,北京,12:08,12:08,12:36,681
