Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海,----,19:41,00:00,-
2,苏州,20:31,20:36,00:50,91
3,无锡,20:58,21:01,01:12,133
4,常州,21:23,21:27,01:34,172
5,南京,22:42,22:49,02:49,308
6,蚌埠,00:21,00:27,04:21,485
7,徐州,01:54,02:06,05:48,649
8,郑州,04:53,05:00,08:35,998
9,洛阳,06:21,06:24,09:56,1122
10,西安,11:00,11:10,14:32,1509
11,宝鸡,12:44,12:49,16:06,1649
12,天水,14:24,14:35,17:41,1804
13,兰州,18:24,18:41,21:30,2152
14,武威,21:45,21:50,24:34,2455
15,张掖,23:58,00:04,26:42,2699
16,嘉峪关,01:58,02:06,28:36,2922
17,哈密,07:04,07:10,33:34,3382
18,吐鲁番北,09:43,09:45,36:07,3754
19,乌鲁木齐,11:10,11:10,37:32,3917
