Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,遵义西,08:59,08:59,00:00,-
2,松坝,09:39,09:44,00:40,5
3,汇塘河,09:56,09:58,00:52,10
4,娄山关,10:08,10:15,01:02,15
5,红花园,10:25,10:28,01:12,20
6,桐梓,10:39,10:49,01:23,25
7,元田坝,11:01,11:03,01:35,30
8,新场,11:27,11:31,01:59,35
9,大河坝,11:38,11:42,02:06,40
10,九龙塘,11:54,11:57,02:18,45
11,太白,12:07,12:10,02:28,50
12,蒙渡,12:18,12:22,02:36,55
13,三元坝,12:32,12:39,02:46,60
14,木竹河,13:09,13:12,03:16,70
15,石门坎,13:22,13:25,03:26,75
16,赶水,13:53,14:04,03:54,80
17,镇紫街,14:25,14:27,04:15,85
18,三江,15:08,15:11,04:56,90
19,綦江,15:31,15:35,05:16,95
20,夏坝,16:09,16:12,05:50,100
21,民福寺,16:24,16:26,06:02,105
22,七龙星,16:36,16:38,06:12,110
23,茄子溪,18:40,18:43,08:14,115
24,重庆南,19:03,19:04,08:34,120
25,重庆,19:15,19:15,08:45,125
