Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,通化,----,07:00,00:00,-
2,通化县,07:18,07:20,00:18,5
3,古城子,07:51,07:53,00:49,10
4,桓龙湖,08:08,08:10,01:04,28
5,五女山,08:19,08:23,01:13,38
6,大雅河,08:39,08:45,01:29,60
7,雅河,09:06,09:08,01:50,82
8,天桥沟,09:26,09:28,02:08,-
9,灌水,09:45,09:47,02:25,126
10,天桥,10:00,10:00,02:38,-
11,庙阳,10:10,10:10,02:48,142
12,佟家,10:15,10:15,02:53,149
13,边沟,10:20,10:20,02:58,154
14,铁佛寺,10:30,10:30,03:08,160
15,石城,10:52,11:06,03:30,166
16,叆河,11:20,11:20,03:44,-
17,凤凰城,11:56,12:18,04:20,208
18,一面山,12:32,12:34,04:34,223
19,汤山城,12:46,12:52,04:46,235
20,五龙背,13:02,13:04,04:56,244
21,丹东,13:26,13:26,05:18,268
