Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,杭州,----,13:30,00:00,-
2,海宁,14:04,14:09,00:34,65
3,嘉兴,14:25,14:39,00:50,93
4,昆山,15:58,16:03,02:09,236
5,苏州,16:24,16:28,02:30,271
6,无锡,16:53,16:56,02:55,295
7,常州,17:17,17:20,03:16,352
8,丹阳,17:41,17:45,03:37,396
9,南京,18:36,18:44,04:28,488
10,蚌埠,20:16,20:20,06:00,672
11,宿州,21:06,21:09,06:46,762
12,徐州,21:49,22:08,07:26,836
13,兖州,23:33,23:35,08:51,1039
14,泰山,00:26,00:29,09:42,1082
15,德州,02:03,02:05,11:16,1273
16,沧州,02:59,03:02,12:10,1426
17,天津,04:24,04:34,13:32,1552
18,唐山,05:47,05:50,14:45,1666
19,秦皇岛,07:17,07:19,16:12,1814
20,山海关,07:44,07:50,16:37,1830
21,沈阳北,10:48,10:54,19:35,2218
22,长春,13:17,13:23,21:58,2528
23,哈尔滨西,15:31,15:31,24:06,2767
