Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,包头,08:58,08:58,00:00,-
2,包头东,09:13,09:17,00:15,16
3,呼和浩特,10:32,10:40,01:30,165
4,集宁南,11:58,12:04,02:48,323
5,大同,13:45,14:00,04:29,450
6,张家口,16:22,16:28,06:51,-
7,沙城,17:32,17:34,07:55,703
8,石家庄,22:44,23:01,13:05,1069
9,郑州,02:27,02:33,16:31,1477
10,武昌,07:12,07:21,21:10,2013
11,岳阳,09:21,09:27,23:10,2228
12,长沙,10:47,10:55,24:30,2375
13,株洲,11:30,11:39,25:05,2427
14,衡阳,12:58,13:07,26:24,2561
15,永州,14:27,14:35,27:44,2697
16,桂林北,16:11,16:17,29:20,2896
17,柳州,17:47,17:55,30:50,3060
18,南宁,21:27,21:27,34:22,3849
