Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州东,22:56,22:56,00:00,-
2,韶关东,01:23,01:29,02:27,229
3,郴州,03:07,03:12,04:05,382
4,衡阳,04:51,04:55,05:44,529
5,株洲,06:17,06:23,07:06,663
6,长沙,07:01,07:09,07:44,715
7,岳阳,08:26,08:29,09:01,862
8,咸宁,09:55,09:58,10:27,997
9,武昌,10:42,10:53,11:11,1077
10,孝感,11:51,11:54,12:09,-
11,广水,12:35,12:38,12:50,1246
12,信阳,13:24,13:28,13:36,1311
13,驻马店,14:15,14:19,14:23,1407
14,漯河,14:55,15:00,14:59,1473
15,许昌,15:30,15:33,15:29,1527
16,郑州,16:19,16:43,16:15,1613
17,开封,17:23,17:26,16:55,1685
18,商丘,18:33,18:38,18:02,1816
19,徐州,19:58,20:14,19:22,1844
20,枣庄西,21:08,21:10,20:16,2030
21,滕州,21:32,21:35,20:38,2064
22,邹城,21:59,22:11,21:02,2104
23,兖州,22:23,22:27,21:14,2125
24,泰山,00:08,00:19,22:55,2208
25,济南,01:28,01:40,24:04,2281
26,淄博,02:44,02:47,25:08,2391
27,潍坊,03:41,03:48,26:02,2491
28,青岛,05:22,05:22,27:36,2674
