Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,长治北,09:30,09:30,00:00,-
2,大辛庄,09:40,09:42,00:10,8
3,长治,09:51,09:54,00:19,15
4,小宋,10:04,10:06,00:29,22
5,长子,10:18,10:20,00:41,33
6,赵庄,10:46,10:48,01:07,51
7,西阳村,11:00,11:02,01:19,60
8,高平,11:14,11:17,01:31,70
9,南陈铺,11:28,11:30,01:42,78
10,北板桥,11:42,11:44,01:54,86
11,东元庆,11:56,11:58,02:06,96
12,晋城北,12:12,12:14,02:20,104
13,晋城,12:27,12:29,02:33,109
14,西武匠,12:37,12:39,02:41,113
15,东坡,12:52,12:54,02:54,122
16,后寨,13:22,13:24,03:22,139
17,焦作,14:02,14:05,04:00,169
18,获嘉,14:55,14:57,04:50,210
19,新乡,15:25,15:25,05:18,232
