Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,深圳西,----,09:33,00:00,-
2,广州,12:00,12:21,02:27,162
3,佛山,12:46,12:51,02:52,184
4,肇庆,14:01,14:07,04:02,271
5,茂名,17:56,18:12,07:51,523
6,茂名西,18:25,18:47,08:04,533
7,化州,19:08,19:11,08:25,554
8,文地,20:12,20:15,09:26,-
9,陆川,20:46,20:49,09:57,672
10,玉林,21:20,21:30,10:28,708
11,柳州,00:50,01:10,13:48,-
12,通道,06:16,06:19,18:54,1279
13,靖州,06:56,07:00,19:31,1310
14,怀化,09:02,09:33,21:33,1354
15,铜仁,10:36,10:42,22:36,1586
16,秀山,12:28,12:34,24:22,1550
17,酉阳,13:04,13:09,24:52,1679
18,武隆,15:23,15:29,27:06,-
19,涪陵,16:35,16:44,28:12,1941
20,重庆北,18:30,18:41,29:58,1956
21,重庆西,19:12,19:12,30:29,-
