Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,长沙南,----,07:30,00:00,-
2,岳阳东,08:04,08:06,00:34,147
3,武汉,08:57,09:05,01:25,362
4,孝感北,09:35,09:40,01:55,488
5,信阳东,09:58,10:00,02:13,561
6,驻马店西,10:25,10:27,02:38,679
7,漯河西,10:45,10:47,02:56,743
8,许昌东,11:03,11:11,03:12,807
9,郑州东,11:34,11:44,03:35,898
10,新乡东,12:05,12:07,03:56,965
11,鹤壁东,12:23,12:25,04:12,1029
12,安阳东,12:39,12:53,04:26,1075
13,石家庄,13:47,14:06,05:20,1310
14,定州东,14:30,14:37,05:44,1390
15,保定东,14:54,14:58,06:01,1452
16,白洋淀,15:13,15:21,06:16,1457
17,白沟,15:32,15:37,06:27,-
18,胜芳,16:01,16:05,06:51,1467
19,天津西,16:21,16:32,07:07,1472
20,滨海北,16:58,17:03,07:33,-
21,唐山,17:19,17:22,07:49,-
22,滦河,17:40,17:42,08:07,-
23,秦皇岛,18:06,18:11,08:31,-
24,山海关,18:25,18:28,08:45,-
25,锦州南,19:28,19:35,09:45,-
26,盘锦,20:09,20:11,10:19,-
27,鞍山西,20:40,20:42,10:48,-
28,辽阳,20:54,20:55,11:00,-
29,沈阳,21:18,21:18,11:23,-
