Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,太原,21:14,21:14,00:00,-
2,阳泉北,22:18,22:20,01:04,121
3,石家庄北,23:28,23:40,02:12,225
4,晋州,00:19,00:32,02:51,289
5,辛集,00:47,00:49,03:06,310
6,衡水,02:20,02:25,04:37,357
7,清河城,03:42,03:44,05:54,437
8,聊城,04:40,04:47,06:50,509
9,梁山,05:33,05:49,07:36,585
10,菏泽,06:36,06:46,08:23,665
11,商丘南,07:58,08:02,09:35,770
12,亳州,08:45,08:49,10:18,834
13,阜阳,09:58,10:13,11:27,938
14,合肥,12:30,12:40,13:44,1159
15,巢湖,13:24,13:28,14:28,1223
16,芜湖,14:18,14:24,15:18,1300
17,宣城,15:19,15:23,16:13,1364
18,广德,16:03,16:06,16:53,1427
19,长兴南,16:36,16:40,17:23,1478
20,德清西,17:18,17:23,18:01,1536
21,杭州,18:38,18:55,19:16,1604
22,诸暨,19:55,19:58,20:16,1691
23,义乌,20:38,20:42,20:56,1743
24,金华南,21:17,21:50,21:31,1748
25,武义,22:47,23:29,22:28,1753
26,永康,23:49,00:22,22:48,1774
27,缙云,00:53,01:00,23:19,1807
28,丽水,02:12,02:17,24:31,1839
29,青田,03:18,03:20,25:32,1918
30,温州,05:00,05:00,27:12,1975
