Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,昭通,10:20,10:20,00:00,-
2,昭通南,10:33,10:37,00:13,5
3,花土坡,10:48,10:54,00:24,10
4,仙水,11:06,11:09,00:36,-
5,迤那,11:22,11:28,00:49,15
6,李子沟,11:56,11:59,01:17,-
7,草海,12:33,12:43,01:51,20
8,金钟,13:09,13:12,02:17,-
9,凉水井,13:26,13:29,02:31,-
10,梅花山,14:18,14:24,03:20,-
11,六盘水,14:53,15:15,03:49,93
12,滥坝,15:40,15:43,04:14,98
13,茨冲,15:55,15:57,04:26,103
14,关寨,16:33,16:35,05:02,108
15,六枝,17:04,17:09,05:31,189
16,化处,17:26,17:29,05:48,118
17,安顺,18:05,18:10,06:24,245
18,新平坝,18:44,18:47,06:58,128
19,高峰,19:00,19:03,07:11,133
20,贵阳,19:59,19:59,08:07,342
