Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,宁波,15:05,15:05,00:00,-
2,余姚,15:53,15:56,00:48,48
3,上虞,16:25,16:29,01:17,80
4,绍兴,16:53,16:56,01:41,108
5,杭州,18:10,18:33,02:55,171
6,诸暨,19:44,19:47,04:06,216
7,义乌,20:13,20:16,04:32,268
8,金华,21:07,21:13,05:23,316
9,衢州,22:06,22:10,06:16,402
10,江山,22:34,22:38,06:40,416
11,玉山,23:26,23:35,07:28,407
12,上饶,23:57,00:01,07:50,437
13,鹰潭,01:10,01:32,08:59,553
14,吉安,04:35,04:39,12:02,985
15,赣州,06:37,06:58,14:00,1171
16,大余,09:11,09:15,16:13,1244
17,南雄,09:51,09:55,16:49,1282
18,始兴,10:15,10:21,17:09,1314
19,韶关东,11:17,11:23,18:05,1375
20,英德,12:16,12:19,18:58,1458
21,源潭,13:00,13:03,19:39,1528
22,广州,14:18,14:18,20:54,1596
