Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌伊岭,18:22,18:22,00:00,-
2,汤旺河,18:45,18:49,00:23,22
3,新青,19:14,19:18,00:48,45
4,红星,19:32,19:34,01:02,58
5,五营,19:56,19:59,01:24,78
6,红山,20:33,20:36,01:58,110
7,友好,21:02,21:04,02:24,135
8,伊春,21:25,21:33,02:45,153
9,美溪,21:56,21:59,03:08,177
10,西林,22:25,22:28,03:34,202
11,金山屯,22:46,22:49,03:52,215
12,南岔,23:39,00:30,04:42,257
13,绥化,04:10,04:13,08:22,486
14,哈尔滨东,05:34,06:18,09:43,614
15,哈尔滨北,06:44,06:53,10:09,-
16,大庆,08:20,08:25,11:36,-
17,齐齐哈尔,09:42,09:42,12:53,911
