Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,深圳北,----,10:41,00:00,-
2,惠州南,11:07,11:09,00:26,56
3,普宁,12:16,12:18,01:33,252
4,潮汕,12:42,12:46,01:57,305
5,饶平,13:05,13:07,02:16,346
6,诏安,13:17,13:19,02:26,364
7,云霄,13:33,13:35,02:40,396
8,漳州,14:03,14:06,03:08,562
9,厦门北,14:26,14:32,03:28,514
10,泉州,14:57,15:00,03:53,585
11,莆田,15:25,15:27,04:18,654
12,涵江,15:37,15:39,04:28,674
13,福州南,16:03,16:07,04:52,740
14,罗源,16:37,16:39,05:22,804
15,宁德,16:51,16:53,05:34,828
16,太姥山,17:25,17:27,06:06,921
17,福鼎,17:37,17:39,06:16,940
18,瑞安,18:06,18:08,06:43,1011
19,温州南,18:19,18:21,06:54,1034
20,温岭,18:56,18:58,07:29,1133
21,奉化,19:47,19:49,08:18,-
22,宁波,20:07,20:13,08:36,1309
23,余姚北,20:33,20:35,08:56,1358
24,绍兴东,20:47,20:50,09:08,1363
25,绍兴北,21:01,21:06,09:19,1421
26,杭州东,21:26,21:30,09:39,1411
27,嘉兴南,21:54,21:57,10:03,1539
28,上海虹桥,22:27,22:27,10:33,1570
