Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,汉口,----,17:34,00:00,-
2,孝感,18:13,18:16,00:39,70
3,信阳,19:39,19:42,02:02,214
4,驻马店,20:29,20:32,02:49,310
5,漯河,21:08,21:12,03:25,376
6,许昌,21:42,21:46,03:55,430
7,郑州,22:36,22:47,04:45,516
8,西安,05:02,05:10,11:00,1004
9,宝鸡,06:52,07:00,12:42,1144
10,天水,08:37,08:43,14:19,1299
11,甘谷,09:25,09:28,15:01,1422
12,陇西,10:41,10:44,16:14,1445
13,定西,11:40,11:44,17:10,1529
14,兰州,13:12,13:28,18:38,1647
15,兰州西,13:40,13:43,18:50,1713
16,武威,16:34,16:40,21:41,1950
17,张掖,18:54,19:00,23:55,2194
18,嘉峪关,20:57,21:12,25:52,2282
19,哈密,03:26,03:40,32:06,2900
20,鄯善北,05:38,05:41,34:04,3181
21,吐鲁番北,06:24,06:27,34:47,3272
22,乌鲁木齐,07:52,07:52,36:12,3435
