Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,和田,----,09:43,00:00,-
2,昆玉,10:34,10:37,00:51,-
3,叶城,12:58,13:04,03:12,239
4,泽普,13:31,13:34,03:39,275
5,莎车,13:52,13:56,03:57,298
6,英吉沙,15:45,15:47,05:46,419
7,阿克陶,16:08,16:14,06:07,447
8,喀什,16:54,17:11,06:47,485
9,阿图什,17:50,17:52,07:26,521
10,巴楚,21:10,21:25,10:44,731
11,金银川,00:28,01:05,13:47,-
12,阿克苏,02:22,02:34,15:04,948
13,新和,05:57,05:59,18:27,1150
14,库车,06:39,06:42,19:07,1190
15,库尔勒,11:12,11:27,23:37,1200
16,焉耆,12:09,12:11,24:19,1256
17,和硕,12:40,12:42,24:48,1297
18,马兰,13:10,13:12,25:16,1339
19,鱼儿沟,14:44,14:46,26:48,-
20,吐鲁番,16:28,16:34,28:30,1534
21,乌鲁木齐南,18:11,18:15,30:07,1679
22,乌鲁木齐,18:29,18:29,30:21,1684
