Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌鲁木齐,19:52,19:52,00:00,-
2,吐鲁番北,21:12,21:14,01:20,163
3,鄯善北,21:58,22:00,02:04,254
4,哈密,23:57,00:06,04:01,535
5,柳园,02:54,03:02,06:49,882
6,嘉峪关,05:50,05:58,09:37,1179
7,张掖,07:52,07:58,11:31,1402
8,武威,10:11,10:17,13:44,1646
9,兰州,13:18,13:34,16:45,1754
10,陇西,15:41,15:55,18:52,1956
11,甘谷,16:42,16:49,19:39,2234
12,天水,17:59,18:10,20:49,2102
13,宝鸡,20:44,20:54,23:23,2257
14,西安,22:33,22:41,25:02,2430
15,洛阳,03:15,03:18,29:36,2817
16,郑州,04:39,04:49,30:57,2941
17,驻马店,06:25,06:28,32:33,3147
18,信阳,07:21,07:24,33:26,3243
19,武昌,09:32,09:56,35:34,3529
20,岳阳,11:52,11:55,37:30,3755
21,长沙,13:15,13:23,38:50,3902
22,株洲,13:58,14:02,39:25,3954
23,衡阳,15:21,15:25,40:44,4088
24,郴州,17:03,17:07,42:22,4235
25,韶关东,18:43,18:53,43:58,4388
26,广州,21:11,21:11,46:16,4663
