Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,宁波,12:40,12:40,00:00,-
2,余姚北,13:00,13:02,00:20,49
3,绍兴北,13:21,13:27,00:39,112
4,杭州东,13:47,13:51,00:59,155
5,宜兴,14:30,14:32,01:38,282
6,瓦屋山,14:51,14:53,01:57,343
7,江宁,15:11,15:13,02:15,399
8,南京南,15:22,15:32,02:24,411
9,全椒,15:52,15:54,02:44,399
10,合肥南,16:30,16:35,03:20,500
11,六安,16:59,17:01,03:44,655
12,金寨,17:18,17:20,04:01,639
13,麻城北,17:53,18:00,04:34,816
14,红安西,18:13,18:15,04:47,787
15,汉口,18:57,19:04,05:29,859
16,仙桃西,19:48,19:50,06:13,-
17,潜江,20:01,20:03,06:24,993
18,荆州,20:29,20:31,06:50,-
19,宜昌东,21:05,21:05,07:24,1151
