Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京西,10:33,10:33,00:00,-
2,保定东,11:14,11:16,00:41,139
3,石家庄,11:52,11:59,01:17,281
4,邢台东,12:27,12:33,01:45,403
5,安阳东,13:01,13:03,02:13,516
6,郑州东,13:45,13:51,02:55,693
7,漯河西,14:24,14:26,03:28,848
8,信阳东,15:05,15:07,04:07,1030
9,武汉,15:51,16:05,04:51,1229
10,咸宁北,16:29,16:31,05:15,1314
11,岳阳东,17:02,17:04,05:46,1444
12,长沙南,17:37,17:40,06:19,1591
13,衡山西,18:09,18:11,06:48,1767
14,郴州西,18:52,18:54,07:29,1961
15,清远,19:52,19:54,08:27,2255
16,广州南,20:24,20:31,08:57,2298
17,珠海,21:28,21:28,09:54,2414
