Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,沈阳,----,15:06,00:00,-
2,铁岭,15:52,15:55,00:46,70
3,开原,16:17,16:19,01:08,104
4,昌图,16:40,16:42,01:29,135
5,四平,17:22,17:28,02:09,188
6,双辽,18:34,18:40,03:15,278
7,通榆,20:40,20:42,05:15,-
8,洮南,21:31,21:33,06:04,509
9,白城,22:03,22:11,06:34,498
10,齐齐哈尔,00:43,00:58,09:06,716
11,讷河,02:50,02:52,10:58,842
12,嫩江,04:18,04:24,12:24,935
13,哈力图,04:47,04:55,12:47,961
14,红彦,05:10,05:16,13:02,982
15,达拉滨,05:40,05:42,13:26,1008
16,大杨树东,05:55,06:01,13:39,1021
17,大杨树,06:08,06:14,13:46,1027
18,春亭阁,06:23,06:27,13:55,1037
19,乌鲁布铁,06:39,06:48,14:07,1053
20,朝阳村,07:01,07:03,14:20,1070
21,讷尔克气,07:18,07:20,14:35,1087
22,白桦排,07:33,07:39,14:48,1100
23,加南,07:51,07:53,15:00,1111
24,加格达奇,08:05,08:05,15:12,1123
