Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌伊岭,----,05:40,00:00,-
2,汤旺河,06:03,06:06,00:23,22
3,新青,06:31,06:34,00:48,45
4,红星,06:48,06:50,01:02,58
5,五营,07:27,07:30,01:39,78
6,红山,08:04,08:06,02:13,110
7,友好,08:32,08:34,02:39,135
8,双子河,08:40,08:42,02:45,138
9,伊春,09:00,09:06,03:03,153
10,美溪,09:33,09:36,03:30,177
11,苔青,09:53,09:56,03:47,191
12,西林,10:08,10:10,03:59,202
13,金山屯,10:28,10:31,04:17,215
14,柳树,11:16,11:22,05:02,250
15,南岔,11:38,11:56,05:18,257
16,绿潭,12:06,12:08,05:28,266
17,晨明,12:26,12:41,05:46,288
18,威岭,12:52,12:54,05:57,304
19,浩良河,13:09,13:11,06:12,323
20,香兰,13:24,13:26,06:25,341
21,汤原,13:41,13:43,06:40,360
22,兴莲,14:09,14:11,07:06,396
23,莲江口,14:16,14:18,07:11,398
24,佳木斯,14:30,14:30,07:23,410
