Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,桂林北,----,08:33,00:00,-
2,鹿寨北,09:21,09:23,00:48,107
3,柳州,09:52,09:55,01:17,164
4,来宾北,10:20,10:22,01:42,230
5,南宁东,11:05,11:08,02:25,942
6,南宁,11:19,11:24,02:36,953
7,平果,12:01,12:05,03:13,963
8,田阳,12:31,12:33,03:39,973
9,百色,12:49,12:54,03:55,1008
10,广南县,13:50,13:53,04:51,801
11,弥勒,14:49,14:52,05:47,1028
12,石林西,15:09,15:12,06:04,1033
13,昆明南,15:31,15:43,06:23,311
14,昆明,16:01,16:06,06:41,1003
15,广通北,16:53,16:55,07:28,-
16,楚雄,17:08,17:10,07:41,-
17,祥云,17:49,17:51,08:20,-
18,大理,18:13,18:13,08:42,-
