Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,成都东,15:47,15:47,00:00,-
2,遂宁,17:47,18:03,02:00,146
3,南充,18:47,18:52,02:44,213
4,蓬安,19:19,19:42,03:11,254
5,营山,19:54,20:02,03:23,271
6,达州,21:05,21:22,04:26,372
7,万州,00:33,00:50,07:37,529
8,宜昌东,05:32,05:52,12:19,866
9,石门县北,09:08,09:14,15:35,1038
10,常德,10:04,10:10,16:25,1048
11,益阳,11:10,11:16,17:25,1058
12,长沙,12:50,13:14,18:59,1068
13,株洲,13:52,14:16,19:37,1160
14,醴陵,14:44,14:47,20:05,1202
15,萍乡,15:13,15:19,20:31,1241
16,宜春,16:02,16:06,21:14,1312
17,新余,16:42,16:46,21:50,1366
18,樟树,17:33,17:37,22:37,1442
19,丰城,17:54,17:59,22:54,1466
20,向塘,18:29,18:32,23:24,1499
21,南昌,18:53,18:53,23:45,1527
