Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,郑州东,07:38,07:38,00:00,-
2,开封北,07:58,08:00,00:20,5
3,兰考南,08:16,08:23,00:36,10
4,商丘,08:47,08:50,01:00,20
5,永城北,09:13,09:15,01:23,25
6,徐州东,09:42,09:44,01:50,40
7,蚌埠南,10:20,10:22,02:26,196
8,滁州,10:51,11:00,02:55,312
9,南京南,11:18,11:20,03:13,371
10,溧水,11:36,11:43,03:29,412
11,宜兴,12:05,12:07,03:51,495
12,湖州,12:24,12:26,04:08,551
13,杭州东,12:49,12:55,04:31,841
14,义乌,13:29,13:31,05:05,1056
15,金华南,13:48,13:55,05:22,1111
16,永康南,14:14,14:15,05:41,1144
17,丽水,14:34,14:36,06:00,1194
18,温州南,15:12,15:12,06:36,1284
