Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上饶,----,07:55,00:00,-
2,武夷山北,08:20,08:22,00:25,5
3,南平市,08:35,08:37,00:38,-
4,建瓯西,08:55,08:57,00:56,20
5,延平,09:15,09:17,01:14,-
6,古田北,09:34,09:36,01:31,20
7,闽清北,09:48,09:50,01:43,25
8,福州,10:11,10:22,02:04,25
9,福清,10:49,10:52,02:31,395
10,莆田,11:11,11:14,02:50,140
11,泉州,11:39,11:41,03:15,514
12,晋江,11:52,11:54,03:26,539
13,厦门北,12:12,12:17,03:44,585
14,漳州,12:36,12:38,04:03,-
15,饶平,13:23,13:25,04:48,753
16,潮汕,13:42,13:46,05:05,794
17,潮阳,13:58,14:00,05:17,-
18,陆丰,14:33,14:35,05:50,-
19,惠州南,15:22,15:24,06:37,1043
20,深圳北,15:55,15:55,07:08,1099
