Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,兰州,----,13:12,00:00,-
2,定西,14:28,14:31,01:16,118
3,陇西,15:24,15:27,02:09,202
4,武山,15:52,15:54,02:34,241
5,甘谷,16:26,16:39,03:06,281
6,天水,17:53,17:58,04:20,348
7,宝鸡,21:05,21:14,07:27,503
8,咸阳,22:48,23:06,09:01,653
9,西安,23:29,23:39,09:24,676
10,洛阳,04:44,04:47,14:29,1032
11,巩义,05:27,05:30,15:09,1086
12,郑州,06:28,06:54,16:07,1156
13,开封,07:40,07:43,16:53,1259
14,兰考,08:11,08:14,17:21,1271
15,民权,08:36,08:39,17:43,1338
16,商丘,09:19,09:25,18:23,1390
17,亳州,10:43,10:47,19:41,1433
18,阜阳,11:56,12:07,20:50,1537
19,阜南,12:37,12:40,21:20,1581
20,淮滨,13:00,13:11,21:40,1598
21,潢川,13:53,13:56,22:22,1435
22,光山,14:11,14:15,22:37,-
23,新县,14:44,14:47,23:06,-
24,麻城,15:29,15:46,23:48,1773
25,黄州,16:26,16:31,24:28,1840
26,浠水,16:55,17:00,24:52,1869
27,蕲春,17:20,17:25,25:12,1899
28,武穴,17:53,18:01,25:40,1938
29,九江,18:42,18:48,26:21,1996
30,南昌,20:06,20:29,27:39,2024
31,吉安,22:57,23:01,30:07,2357
32,赣州,00:56,01:02,32:02,2543
33,龙川,04:07,04:27,35:07,2784
34,惠州,06:09,06:13,36:49,2939
35,东莞东,06:57,07:02,37:33,2993
36,深圳西,09:16,09:16,39:47,3069
