Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,杭州东,07:53,07:53,00:00,-
2,诸暨,08:16,08:18,00:23,93
3,义乌,08:32,08:34,00:37,145
4,金华,08:50,08:52,00:53,193
5,江山,09:21,09:23,01:22,314
6,上饶,09:43,09:45,01:42,390
7,鹰潭北,10:11,10:13,02:08,487
8,进贤南,10:35,10:37,02:30,497
9,南昌西,10:55,10:58,02:48,631
10,宜春,11:40,11:48,03:30,807
11,萍乡北,12:06,12:08,03:48,868
12,长沙南,12:39,12:42,04:19,897
13,株洲西,12:57,12:59,04:34,1021
14,衡阳东,13:26,13:28,05:01,1146
15,郴州西,14:01,14:03,05:34,1299
16,清远,15:00,15:02,06:31,1593
17,广州南,15:32,15:32,07:01,1676
