Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,龙岩,12:02,12:02,00:00,-
2,南靖,12:33,12:35,00:31,80
3,漳州,12:50,12:52,00:46,114
4,厦门北,13:12,13:16,01:06,156
5,泉州,13:41,13:43,01:31,227
6,莆田,14:08,14:10,01:56,296
7,福州南,14:40,14:48,02:26,382
8,福州,15:04,15:09,02:42,401
9,延平,15:43,15:47,03:16,-
10,南平市,16:14,16:16,03:43,-
11,上饶,16:45,16:48,04:12,741
12,江山,17:13,17:24,04:37,813
13,衢州,17:35,17:37,04:48,843
14,金华,17:58,18:01,05:09,921
15,义乌,18:17,18:19,05:25,973
16,杭州东,18:55,19:05,06:01,1106
17,湖州,19:26,19:32,06:22,1021
18,宜兴,19:49,19:51,06:39,1077
19,溧阳,20:03,20:09,06:51,1108
20,溧水,20:25,20:30,07:07,-
21,南京南,20:47,21:03,07:24,1362
22,滁州,21:21,21:27,07:42,-
23,蚌埠南,21:56,21:56,08:11,-
