Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,西宁,22:35,22:35,00:00,-
2,兰州,01:23,01:44,02:48,120
3,定西,03:02,03:06,04:06,334
4,陇西,03:58,04:04,04:58,418
5,天水,06:16,06:29,07:10,564
6,宝鸡,09:09,09:16,09:50,719
7,西安,10:50,11:00,11:24,892
8,洛阳,15:34,15:40,15:58,1279
9,郑州,17:00,17:10,17:18,1403
10,开封,17:45,17:48,17:53,1475
11,商丘,18:50,18:56,18:55,1606
12,砀山,19:33,19:38,19:32,1681
13,徐州,20:26,20:45,20:20,1752
14,枣庄西,21:44,21:47,21:19,1832
15,兖州,22:38,22:41,22:10,1927
16,泰山,23:30,23:33,22:59,2010
17,济南,00:24,00:59,23:50,2083
18,淄博,02:03,02:05,24:54,2193
19,潍坊,02:54,03:03,25:43,2293
20,青岛,04:50,04:50,27:30,2464
