Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,厦门北,----,09:19,00:00,-
2,龙岩,10:16,10:20,00:57,156
3,于都,11:36,11:38,02:13,186
4,兴国西,12:04,12:06,02:39,-
5,泰和,12:30,12:32,03:03,-
6,吉安西,12:44,12:46,03:15,-
7,樟树东,13:15,13:17,03:44,-
8,南昌西,13:48,13:55,04:15,688
9,永修,14:15,14:17,04:35,741
10,共青城,14:28,14:30,04:46,767
11,庐山,14:48,14:50,05:04,811
12,枫林,15:08,15:10,05:22,1001
13,阳新,15:22,15:24,05:34,889
14,白沙铺,15:34,15:58,05:44,906
15,大冶北,16:07,16:09,05:53,926
16,黄石北,16:16,16:18,06:00,936
17,鄂州,16:30,16:32,06:12,965
18,武汉,16:58,17:12,06:38,1021
19,孝感北,17:42,17:44,07:08,-
20,信阳东,18:03,18:05,07:27,1358
21,驻马店西,18:30,18:36,07:52,1476
22,漯河西,18:54,18:56,08:10,1540
23,许昌东,19:13,19:15,08:27,1604
24,郑州,19:44,19:50,08:56,-
25,郑州西,20:07,20:09,09:13,-
26,洛阳龙门,20:34,20:36,09:38,-
27,三门峡南,21:07,21:09,10:09,-
28,华山北,21:36,21:39,10:36,-
29,渭南北,21:57,21:59,10:54,-
30,西安北,22:17,22:17,11:12,-
