Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,深圳,----,09:30,00:00,-
2,广州,11:01,11:17,01:31,113
3,韶关东,13:28,13:32,03:42,334
4,郴州,15:06,15:10,05:16,487
5,衡阳,16:49,16:53,06:55,668
6,长沙,18:48,18:58,08:50,820
7,岳阳,20:15,20:22,10:07,967
8,武昌,22:28,22:48,12:13,1216
9,襄州,01:29,01:41,14:54,-
10,南阳,03:20,03:50,16:33,1580
11,渭南西,08:28,08:30,21:11,-
12,西安,09:22,09:38,22:03,2229
13,宝鸡,11:12,11:31,23:37,2292
14,天水,13:03,13:10,25:09,2447
15,兰州,17:00,17:15,28:59,2795
16,武威,20:05,20:11,31:49,-
17,金昌,20:44,20:49,32:22,-
18,张掖,22:27,22:33,34:00,-
19,嘉峪关,00:30,00:45,35:57,3509
20,柳园,03:19,03:21,38:31,3806
21,哈密,06:01,06:07,41:11,4127
22,吐鲁番北,08:40,08:42,43:44,4499
23,乌鲁木齐,10:07,10:07,45:09,4666
