Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乔庄东,----,18:29,00:00,-
2,北京东,18:47,18:48,00:18,-
3,北京,18:58,18:59,00:28,-
4,北京西,19:13,19:13,00:42,-
